"category","name","brand","sku","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","supplierName","productUrl","active"
"bottoms","Men's Quick Dry Pant Proact","Proact","PA174_47109_47117","55","EUR","0","Black|Navy","#ffffff","#0b1f3a","96% polyester and 4% elastane with a fabric weight of 160 g/m² , these pants offer excellent stretch and flexibility, ensuring maximum mobility for active crew members","Designed for Yacht Crews Equip your yacht crew with the Men's Quick Dry Pant Proact , meticulously crafted to meet the high-performance demands of maritime life. These lightweight and versatile pants combine style, comfort, and durability, making them an essential addition to your yacht uniform collection. Men's Quick Dry Pant Proact Key Features 1. Premium Fabric for Mobility and Comfort Lightweight and Stretchy : Made from 96% polyester and 4% elastane with a fabric weight of 160 g/m² , these ","man","","","1","38–54","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-quick-dry-pant-proact-877265.jpg?v=1732609825","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-quick-dry-pant-proact","true"
"accessories","Delta Snapback Cap FLEXFIT","flexfit","FL180AP_91201_91200","25.9","EUR","0","Black|White|Dark Grey|Navy","#ffffff","#0b1f3a","The 92% Polyester / 8% PU Spandex blend provides a 4-way stretch for a custom-feel fit and water-repellent properties","Delta Snapback FLEXFIT® Cap – Yachting Professional Series The Delta Snapback Cap FLEXFIT is a lighter, sleeker, and smarter choice for yacht crews. This high-tech cap eliminates traditional stitching with a seamless, thermal-bonded finish, making it the most advanced snapback in the maritime world. Key Features : Stain-Block Technology: A multi-layer sweatband that absorbs moisture and diffuses it quickly through the visor, preventing unsightly salt streaks and sweat stains. Laser-Cut Ventilati","woman|man","","","1","","cap","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/delta-snapback-cap-flexfit-7681309.jpg?v=1775799678","Marina Yacht Wear","https://www.marinayachtwear.com/products/delta-snapback-cap-flexfit","true"
"tops","Men's Long Sleeve Technical Polo","HENBURY","HY478","35","EUR","0","White|Black|Navy|Dark Grey","#ffffff","#0b1f3a","","Men's Long Sleeve Technical Polo – The Ultimate Crew Essential Designed to complement the Men’s Quick Dry Polo , this long-sleeve version offers the same high-performance standards for teams that require a professional look year-round. Crafted from advanced Cool Plus® micro piqué , it ensures your crew stays dry, comfortable, and sharp from dawn to dusk. Key Features : Cool Plus® Performance: 100% polyester micro piqué fabric specifically engineered to wick moisture away from the skin, ensuring ","man","","","1","XS–3XL","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-long-sleeve-technical-polo-7892229.png?v=1775717130","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-long-sleeve-technical-polo","true"
"outerwear","Ladies Hydraplus Jacket","Russell","ladies-hydraplus-jacket","139","EUR","0","Red|Navy|Dark Grey|Black","#ffffff","#0b1f3a","","Ladies Hydraplus Jacket Equip your yacht crew with the Ladies Hydraplus Jacket , a superior blend of functionality, comfort, and maritime elegance. Designed specifically for sailors and crew members, this jacket offers advanced weather protection, ensuring a polished and professional look in any maritime setting. Key Features Premium Weatherproof Fabric Material : Constructed from lightweight 190 g/m² 100% nylon Taslan with a durable PU coating and breathable mesh lining for maximum comfort duri","woman","","","1","XS–4XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-hydraplus-jacket-5594251.png?v=1754379338","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-hydraplus-jacket","true"
"outerwear","Ladies Zipped Jacket","Kariban","K4011_73751_73741","45","EUR","0","White|Black|Navy|Light Grey","#ffffff","#0b1f3a","","Ladies Zipped Jacket – Luxury Crew Uniform Elevate your interior or deck team's appearance with the Ladies Zipped Jacket . Engineered specifically for the demanding maritime environment, this jacket blends a refined feminine silhouette with high-performance durability. Designed with a Low Shrinkage Fleece treatment, it maintains its professional fit and soft-touch feel even after intensive nautical use and frequent industrial laundering. T echnical Specifications & Features : Premium Fabric Blen","woman","","","1","XS–3XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-zipped-jacket-5300415.png?v=1775054363","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-zipped-jacket","true"
"tops","Ladies Quick Dry Bermuda","Proact","PA150_47100_47098","40","EUR","0","White|Navy|Black|Beige","#ffffff","#0b1f3a","a high-quality blend of 96% polyester and 4% elastane , these Bermudas deliver exceptional comfort, flexibility, and durability—ideal for the demanding maritime environment","The Ideal Yacht Crew Shorts Experience the perfect blend of style, performance, and practicality with the Ladies Quick Dry Bermuda , specifically designed for yacht crew uniforms. Made from a high-quality blend of 96% polyester and 4% elastane , these Bermudas deliver exceptional comfort, flexibility, and durability—ideal for the demanding maritime environment. Ladies Quick Dry Bermuda Key Features Lightweight Comfort and Quick-Dry Fabric Material : Crafted from 96% polyester and 4% elastane for","woman","","","1","34–46","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-quick-dry-bermuda-3290680.png?v=1771050321","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-quick-dry-bermuda","true"
"shirts","Ladies V-Neck Pique T-Shirt","Kariban","K394_54802_54793","14.9","EUR","0","White|Black|Light Grey|Red|Navy / Red|Navy / Light Grey","#ffffff","#0b1f3a","","Ladies V-Neck Pique T-Shirt: Style and Comfort for Your Yacht Crew Upgrade your crew’s uniform with our Ladies V-Neck Pique T-Shirt , a sophisticated alternative to traditional polo shirts. This versatile top combines comfort and durability, making it an excellent choice for a variety of roles on board. Ensure your team looks professional and polished throughout the day by selecting from our high-quality ladies yacht crew clothing options. Key Features and Benefits: Premium Combed Piqué Cotton: ","woman","","","1","XS–2XL","shirt","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-v-neck-pique-t-shirt-6610134.png?v=1774888527","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-v-neck-pique-t-shirt","true"
"bottoms","Ladies Quick Dry Pant Proact","Proact","PA175_47128_47127","55","EUR","0","Navy|Black","#ffffff","#0b1f3a","","Style and Performance for Yacht Crew Uniforms Elevate your yacht crew’s attire with the Ladies Quick Dry Pant Proact , designed to meet the unique demands of women in the yachting industry. Combining sophisticated style with advanced performance features, these pants are essential for female crew members seeking comfort, functionality, and elegance. Key Features Lightweight and Stretchy for Unrestricted Movement Material : Crafted from a premium blend of 96% polyester and 4% elastane , these pan","woman","","","1","34–46","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-quick-dry-pant-proact-8841773.png?v=1771050319","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-quick-dry-pant-proact","true"
"outerwear","Men's No Sleeve Softshell Jacket Kariban","Kariban","K403_34615_20339","40","EUR","0","White|Black|Dark Grey|Light Grey|Navy|Blue|Red","#ffffff","#0b1f3a","95% polyester / 5% elastane outer shell for superior durability and stretch","Men’s No Sleeve Softshell Jacket – KARIBAN The Men’s No Sleeve Softshell Jacket by Kariban is engineered for yachting professionals who require a high-performance uniform that balances core protection with total arm mobility. This 3-layer sleeveless softshell is windproof, waterproof, and breathable—making it the ideal choice for active deck duties and layering in unpredictable marine environments. Key Features High-performance fabric: 95% polyester / 5% elastane outer shell for superior durabil","man","","","1","S–4XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-no-sleeve-softshell-jacket-kariban-3349665.png?v=1773313891","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-no-sleeve-softshell-jacket-kariban","true"
"tops","Men's Quick Dry Bermuda Proact","Proact","PA149_84870_47080","40","EUR","0","Beige|White|Navy|Black","#ffffff","#0b1f3a","96% polyester and 4% elastane (160 gsm), these Bermudas offer a lightweight, breathable feel ideal for the demanding yachting environment","The Perfect Blend of Performance and Style for Yacht Crews Equip your yacht crew with the Men's Quick Dry Bermuda Proact , a premium addition to any maritime wardrobe. Designed specifically for life at sea, these Bermuda shorts combine functionality, comfort, and elegance, ensuring your crew is ready to perform their best while looking polished and professional. Quick Dry Bermuda Proact Key Features 1. Crafted for Comfort and Movement Material : Made from 96% polyester and 4% elastane (160 gsm),","man","","","1","36–54","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/quick-dry-bermuda-proact-916145.jpg?v=1732609929","Marina Yacht Wear","https://www.marinayachtwear.com/products/quick-dry-bermuda-proact","true"
"outerwear","Men's Long Sleeve Softshell Jacket KARIBAN","Kariban","K401_34612_20323","49","EUR","0","White|Black|Dark Grey|Navy|Blue|Red|Light Grey","#ffffff","#0b1f3a","95% polyester / 5% elastane – 3-layer bonded fabric","Technical Softshell Jacket for Men's Yacht Crew The Men’s Long Sleeve Softshell Jacket – KARIBAN is engineered for professionals working in demanding marine environments who require uncompromising protection, maximum mobility, and a sharp, authoritative look. This 3-layer softshell is a high-performance staple, specifically designed to withstand the rigors of life on deck. Key Features 3-layer construction: Features a high-performance breathable membrane 3000 g/m² /24 h and is waterproof up to 8","man","","","1","S–4XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-long-sleeve-softshell-jacket-kariban-6549773.png?v=1773313891","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-long-sleeve-softshell-jacket-kariban","true"
"chef-wear","Unisex Chef Non-Slip Moccasin NORDWAYS","Nordways","TED-1","51.9","EUR","0","White|Black","#ffffff","#0b1f3a","","Unisex Chef Non-Slip Moccasin NORDWAYS : The Gold Standard for Yachting Professionals The Unisex Non-Slip Moccasins is the ultimate choice for chefs and galley crew operating in the high-stakes world of luxury yachting. A S2 SRC certified safety loafer, it blends high-performance technical specs with immediate comfort—engineered to withstand the relentless pace of a busy season. Combining sleek ergonomics with rugged durability, the Unisex Non-Slip Moccasins is the essential daily partner for th","woman|man","","","1","","chef-jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/unisex-chef-non-slip-moccasin-nordways-2637308.jpg?v=1772808075","Marina Yacht Wear","https://www.marinayachtwear.com/products/unisex-chef-non-slip-moccasins-nordways","true"
"dresses","Men's Popeline Long Sleeve Dress Shirt RUSSEL","Russell","RU924M_6425_6418","39","EUR","0","White|Black|Corporate Blue","#ffffff","#0b1f3a","High-performance 65% Polyester, 35% Cotton Poplin (White: 110 g/m² | Colours: 115 g/m²)","Designed to meet the rigorous standards of the yachting industry, the Men's Popeline Long Sleeve Dress Shirt RUSSEL offers a perfect balance of traditional maritime elegance and daily durability. Ideal for stewards and deck officers, this shirt ensures a crisp, professional appearance from guest arrivals to formal dinner service. The classic fit is engineered for comfort and mobility during active shifts, featuring a back yoke with two side pleats for extra freedom of movement. Practicality meet","man","","","1","S–TBD","dress","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-popeline-long-sleeve-dress-shirt-russel-4044139.png?v=1772707640","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-popeline-long-sleeve-dress-shirt-russel","true"
"dresses","Ladies Popeline Long Sleeve Dress Shirt RUSSEL","Russell","RU934F_6416_6415","39","EUR","0","White|Black|Corporate Blue","#ffffff","#0b1f3a","Durable 65% Polyester, 35% Cotton Poplin (White: 110 g/m² | Colours: 115 g/m²)","Ladies Popeline Long Sleeve Dress Shirt RUSSEL Perfectly engineered for the demanding standards of the yachting industry, the Ladies Popeline Long Sleeve Dress Shirt RUSSEL combines a crisp, formal aesthetic with the durability required for life at sea. Whether for formal guest service or interior duties, this shirt ensures a sharp, professional image from the morning briefing to the late-night service. The tailored silhouette features front and back darts for a feminine fit that stays polished ","woman","","","1","XS–XXXL","dress","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-popeline-long-sleeve-dress-shirt-russel-1974854.png?v=1772707642","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-popeline-long-sleeve-dress-shirt-russel","true"
"bottoms","Ladies Technical Skort by MYW","Marina Yacht Wear","MYW-LES-LIGHTGREY-34","65","EUR","0","Light Grey|Navy|Black|Dark Grey|Khaki|Marine|Beige","#ffffff","#0b1f3a","polyester and elastane provide excellent coverage and flexibility, ideal for dynamic onboard roles","The Perfect Blend of Style and Functionality for Yacht Crews Enhance your yacht crew uniforms with the Ladies Technical Skort by Marina Yacht Wear. This versatile garment is meticulously designed to meet the demands of active maritime life, combining elegance, comfort, and practicality in a single essential piece. Key Features Superior Comfort and Quick-Dry Fabric Material : Crafted from a high-performance blend of 60% cotton , 35% polyester , and 5% spandex , ensuring optimal flexibility and so","woman","","","1","34–44","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Stewardess_wearing_ladies-elegance-skort_on_Superyacht.png?v=1765296658","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-technical-skort-by-myw","true"
"tops","Men's Technical Bermuda by MYW","Marina Yacht Wear","MYW-MEB-MARINE-38","65","EUR","0","Marine|Noir|Dark Grey|Beige|Khaki|Navy","#ffffff","#0b1f3a","Made from a resilient and breathable blend of 60% cotton, 35% polyester, and 5% spandex , ensuring all-day comfort and stretch where it counts","Men's Technical Bermuda – Lightweight Performance for Professional Yacht Crews Stay sharp, mobile, and cool on duty with the Men's Technical Bermuda , meticulously designed for yacht professionals working in warm and dynamic maritime environments. These technical shorts offer the perfect balance of style, functionality, and durability , making them an essential part of any summer uniform. Key Features Technical Fabric for Comfort and Mobility Material: Made from a resilient and breathable blend ","man","","","1","38–TBD","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Men_s_Elegance_Bermuda_Beige.png?v=1760971460","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-technical-bermuda","true"
"bottoms","Men's Technical Pant","Marina Yacht Wear","MYW-MTP-MARINE-38","79","EUR","0","Marine|Noir|Navy|Beige","#ffffff","#0b1f3a","Crafted from a premium blend of 60% cotton, 35% polyester, and 5% spandex , ensuring maximum comfort, breathability, and freedom of movement","Men's Technical Pant – Elegance, Style and Comfort for Professional Yacht Crews Elevate your crew’s appearance with the Men's Technical Pant, engineered for durability, flexibility, and refined style. Purpose-built for life at sea, these trousers are the ideal choice for demanding maritime environments where elegance meets professionalism. Key Features Premium Fabric for Comfort and Endurance Material: Crafted from a premium blend of 60% cotton, 35% polyester, and 5% spandex , ensuring maximum c","man","","","1","38–TBD","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-elegance-pant-8563434.png?v=1771050316","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-technical-pant","true"
"bottoms","Ladies Technical Pant","Marina Yacht Wear","MYW-LTP-BLACK-34","79","EUR","0","Black|Navy|Beige|Marine","#ffffff","#0b1f3a","a high-quality blend of 60% cotton , 35% polyester , and 5% spandex , these pants offer exceptional flexibility and comfort","Ladies Technical Pant – The Ultimate Choice for Yacht Crew Uniforms Elevate your yacht crew’s uniform with the Ladies Technical Pant , expertly designed to combine performance, style, and practicality. Crafted to meet the unique demands of maritime environments, these pants ensure your crew stays comfortable, professional, and polished, no matter the task. Key Features Premium Fabric for Comfort and Performance Material : Made from a high-quality blend of 60% cotton , 35% polyester , and 5% span","woman","","","1","34–46","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Ladies_Elegance_Pant_Black.jpg?v=1759915687","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-technical-pant","true"
"bottoms","Ladies Cargo Board Short","WET EFFECT","ladies-cargo-board-short","24.9","EUR","0","Black|Dark Grey|Khaki|Navy|Blue|Red","#ffffff","#0b1f3a","High-performance, UV-resistant synthetic blend","Ladies Cargo Board Short Elevate your crew’s daily operations with the ultimate fusion of technical utility and feminine tailoring. Designed specifically for the rigors of life on deck and the polished aesthetic required for interior service, these Cargo Board Shorts are an essential staple for the modern stewardess. Why It’s a Marina Yacht Wear Essential: Engineered Mobility: Crafted from a premium, lightweight stretch fabric that moves with you, whether you’re handling lines or managing guest ","woman","","","1","XS–3XL","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-cargo-board-short-9812275.png?v=1771050318","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-cargo-board-short","true"
"shoes","Men's Classic Casual Leather","DUBARRY","Cordoba-1","179","EUR","0","Noir","#ffffff","#0b1f3a","","Men’s Classic Casual Leather: The Cordoba Loafer The Cordoba Loafer is the embodiment of versatility, seamlessly bridging the gap between refined formal style and high-performance maritime utility. Crafted for the modern yachtsman, this shoe is as suited for a formal dinner at the yacht club as it is for active duty on the bridge. Superior Craftsmanship & Materials Premium Water-Resistant Leather: Constructed from the highest grade smooth leather, featuring a specialized water-repellent finish. ","man","","","1","","shoes","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-classic-casual-leather-7798744.png?v=1770991105","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-classic-casual-leather","true"
"shirts","Men's Authentic Sweat-shirt","Russell","RU265M_41070_41054","45","EUR","0","White|Black|Navy|Blue|Light Grey|Urban Grey|Red|Burgundy","#ffffff","#0b1f3a","","Men’s Authentic Sweatshirt: The Gold Standard for Yacht Crew Elevate your onboard attire with the Men’s Authentic Sweatshirt , a premium staple engineered for the demanding yachting environment. This garment combines a sophisticated silhouette with high-performance construction, ensuring your team looks as sharp as the vessel they represent. Premium Fabric & Construction Triple-Layer Luxury: Crafted from a specialized three-layer fabric consisting of 80% ringspun combed cotton and 20% polyester.","man","","","1","XS–XXXL","shirt","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-authentic-sweat-shirt-7999753.png?v=1769725056","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-authentic-sweat-shirt","true"
"tops","Square Bandana","K-Up","KP451","10","EUR","0","Black|White|Navy|Light Grey|Blue|Beige|Pale Pink|Pink","#ffffff","#0b1f3a","","Square Bandana | The Premium Yachting Essential The Square Bandana is more than a simple accessory; it is a versatile essential designed for the demanding conditions of life at sea. Crafted from 100% cotton , this bandana offers the perfect balance of soft comfort and durable performance. Engineered for the Marine Environment Optimal Breathability: The 110g/m2 fabric weight ensures a lightweight feel that stays cool under the sun. Refined Finish: Features hemmed edges for a clean, sophisticated ","woman|man","","","1","One Size","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/square-bandana-3310951.png?v=1769725054","Marina Yacht Wear","https://www.marinayachtwear.com/products/square-bandana","true"
"outerwear","Ladies No Sleeve Softshell Jacket RUSSELL","Russell","russell-ladies-softshell-vest-no-sleeve","70","EUR","0","Blue|Red|Navy|Black|Dark Grey","#ffffff","#0b1f3a","Breathable and water-resistant up to 5,000 mm, ensuring protection without sacrificing comfort","Ladies No Sleeve Softshell Jacket RUSSELL Introducing the Ladies No Sleeve Softshell Jacket RUSSELL , the perfect fusion of style, functionality, and performance, meticulously crafted for yacht crew uniforms. This vest ensures your crew is dressed to impress while remaining practical and comfortable for maritime duties. Key Features Premium Fabric Blend: Made with 92% polyester and 8% elastane, this vest offers exceptional flexibility and durability. Weight: At 340 g/m², it provides the perfect ","woman","","","1","XS–2XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-softshell-vest-no-sleeve-russell-323785.jpg?v=1732786165","Marina Yacht Wear","https://www.marinayachtwear.com/products/russell-ladies-softshell-vest-no-sleeve","true"
"bottoms","Men’s Performance Pant","Marina Yacht Wear","MYW-MPP-LIGHTGREY-38","75","EUR","0","Light Grey|Navy","#ffffff","#0b1f3a","86% polyamide and 14% elastane , this stretch fabric ensures total freedom of movement while maintaining a clean, professional look","High-Performance Yachting Pants for Professional Crew The Men’s Performance Pant is designed specifically for yacht crew and marine professionals who need comfort, durability, and style in one. Made from 86% polyamide and 14% elastane , this stretch fabric ensures total freedom of movement while maintaining a clean, professional look. Key Features Performance fabric : lightweight, breathable, and quick-dry – perfect for long days on board. Stretch comfort : engineered with elastane for all-day m","man","","","1","38–TBD","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-performance-pant-5523924.png?v=1774888509","Marina Yacht Wear","https://www.marinayachtwear.com/products/men-s-performance-pant","true"
"bottoms","Ladies Performance Pant","Marina Yacht Wear","MYW-LPP-LIGHTGREY-34","75","EUR","0","Light Grey|Navy","#ffffff","#0b1f3a","86% polyamide / 14% elastane Unit weight: approx","High-Performance Yachting Pants Designed for Crew The Ladies Performance Pant is crafted for professional yacht crew who need elegance, comfort, and technical performance combined. Made from 86% polyamide and 14% elastane , this stretch fabric delivers full freedom of movement while keeping a sharp, feminine silhouette on board. Key Features Performance fabric : lightweight, breathable, and quick-dry — perfect for life at sea. Stretch comfort : elastane blend ensures flexibility during active du","woman","","","1","34–TBD","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-performance-pant-1452153.png?v=1765366338","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-performance-pant","true"
"tops","Men's Performance Bermuda","Marina Yacht Wear","MYW-MPB-LIGHTGREY-38","65","EUR","0","Light Grey|Dark Grey|Navy|Black","#ffffff","#0b1f3a","86% polyamide / 14% elastane Unit weight: approx","High-Performance Yachting Bermudas for Professional Crew The Men’s Performance Bermuda is engineered for yacht crew who require comfort, practicality, and professional style in warm climates. Made from 86% polyamide and 14% elastane, this stretch, quick-dry fabric ensures full mobility while maintaining a clean and modern look. Key Features Performance fabric : lightweight, breathable, and fast-drying — ideal for hot weather on board. Stretch comfort : elastane blend offers unrestricted movement","man","","","1","38–TBD","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-performance-bermuda-4386734.png?v=1771050313","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-performance-bermuda","true"
